"Offense","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"DET","4.979520964341702","7.984412120249907","3.8621458048320583","6.498145347015973","9.71587560189994","","4.276125384829467","4.087155855972627","6.221502639787991","3.327943655590678","6.414018240136842","6.0739479391314575","5.7685294095290764","3.462572197012433","4.087155855972627","7.430967776037032","6.0739479391314575","13","8.081105614128116","3","6.7351854596528105","16","9.38210759549328"
"GB","4.087155855972627","3.8621458048320583","5.7685294095290764","6.701004584785907","6.0739479391314575","6.989038921353517","2.581823986953266","6.498145347015973","3.327943655590678","4.087155855972627","","0","4.979520964341702","7.984412120249907","6.221502639787991","6.0739479391314575","1.2850672436270159","13","4.772991770997544","3","3.883886701254631","16","4.496921581312915"
"HST","7.984412120249907","10","6.152895678742918","6.934583605055802","3.462572197012433","4.148934128744542","7.430967776037032","","3.412670185735127","1.301706346464796","5.818228221628694","5.012449992098835","3.67332786133054","6.190266057546619","4.116607578152745","4.146618278980155","4.276125384829467","13","7.43314067601193","3","3.143854991709392","16","7.198752490429944"
"IND","5.012449992098835","3.453747385313366","1.2850672436270159","6.190266057546619","3.67332786133054","3.4897627934390907","4.087155855972627","4.116607578152745","6.934583605055802","6.221502639787991","0.5269374553649274","7.430967776037032","","4.146618278980155","3.462572197012433","10","1.301706346464796","13","3.6953674631673037","3","4.725270286109468","16","4.847523138367517"
"JAX","1.301706346464796","0.8003006257901715","3.327943655590678","10","4.146618278980155","1.2951585118560875","","6.152895678742918","5.012449992098835","3.462572197012433","7.207482419300657","3.462572197012433","6.0739479391314575","3.67332786133054","1.2850672436270159","6.934583605055802","6.190266057546619","13","2.3999531212532066","3","4.473400073311611","16","4.3189357427528945"
"KC","0.8003006257901715","6.152895678742918","6.221502639787991","8.946208641571268","","3.439468915834581","2.2563776161819153","0.8003006257901715","3.8621458048320583","5.7685294095290764","9.691159040591511","7.984412120249907","0","10","3.327943655590678","9.922084685876712","3.412670185735127","13","7.219678018385753","3","6.074613428878149","16","8.68183292105109"
"LA","9.922084685876712","7.430967776037032","0.8003006257901715","4.146618278980155","7.984412120249907","9.792171614630247","8.946208641571268","3.412670185735127","6.190266057546619","9.71587560189994","","4.276125384829467","3.453747385313366","9.922084685876712","6.934583605055802","2.2563776161819153","6.701004584785907","13","10","3","5.5267984452887875","16","10"
"LAC","9.71587560189994","8.946208641571268","7.984412120249907","2.2563776161819153","0.8003006257901715","3.4808686829991458","","0","1.2850672436270159","5.012449992098835","3.3282013406061663","3.327943655590678","6.701004584785907","8.946208641571268","9.922084685876712","6.221502639787991","3.453747385313366","13","2.66225681104407","3","8.160469690951405","16","5.601091031158399"
"LV","6.221502639787991","3.412670185735127","4.979520964341702","3.453747385313366","3.327943655590678","8.047111441827417","0","3.8621458048320583","9.922084685876712","2.2563776161819153","0","1.301706346464796","","3.412670185735127","0.8003006257901715","3.462572197012433","9.71587560189994","13","0.40853719829710483","3","4.166937731514809","16","2.5528031136660534"
"MIA","8.946208641571268","9.922084685876712","3.453747385313366","4.087155855972627","10","","3.8621458048320583","3.327943655590678","2.581823986953266","6.152895678742918","7.809072016635091","3.8621458048320583","0.8003006257901715","6.0739479391314575","4.276125384829467","3.412670185735127","7.984412120249907","13","8.021505600527263","3","5.371311374349304","16","7.471473513680546"
"MIN","4.276125384829467","6.0739479391314575","6.701004584785907","6.221502639787991","4.979520964341702","","6.152895678742918","2.581823986953266","7.984412120249907","4.276125384829467","9.915306673670534","5.7685294095290764","6.498145347015973","3.327943655590678","2.581823986953266","6.190266057546619","3.8621458048320583","13","9.29687225662616","3","3.2112962825754945","16","9.43430953042871"
"NE","2.2563776161819153","3.67332786133054","4.116607578152745","7.984412120249907","8.946208641571268","3.892474139360564","6.0739479391314575","6.221502639787991","4.276125384829467","2.581823986953266","","3.412670185735127","7.984412120249907","4.087155855972627","3.453747385313366","3.8621458048320583","0.8003006257901715","13","4.267179973469083","3","0","16","2.91544211498864"
