"Offense","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"DET","4.989928695644156","3.8906313081936093","5.7292486706632495","5.793046299988092","8.433609723227711","","4.832462313694706","4.539456952557035","8.673314689543648","0","6.4896513978276875","4.442806901419217","4.198457392004571","8.29417268130779","4.539456952557035","4.484278613087993","4.442806901419217","13","7.153998183488769","3","3.655176760945183","16","8.865213447498606"
"GB","4.539456952557035","5.7292486706632495","4.198457392004571","6.730580172043106","4.442806901419217","6.5956021933568625","4.125555649852529","5.793046299988092","0","4.539456952557035","","3.7275051589172254","4.989928695644156","3.8906313081936093","8.673314689543648","4.442806901419217","1.2964632854891325","13","3.10605402303455","3","4.382399477015573","16","3.826100888556927"
"HST","3.8906313081936093","8.140639725680705","6.081630385400041","6.5956021933568625","8.29417268130779","4.194792220866963","5.170201674446493","","3.4039783162779322","4.5170446066345855","5.792879463876922","3.5471979330182424","3.7512963788199167","10","4.194792220866963","0.6863385991531568","4.191346637203437","13","8.085005051070349","3","0.2774593781544712","16","7.575550081671199"
"IND","3.5471979330182424","4.621214255577892","1.2964632854891325","10","3.7512963788199167","8.29417268130779","5.233820188756328","4.194792220866963","6.5956021933568625","8.673314689543648","0.6550857499291316","4.484278613087993","","0.6863385991531568","8.29417268130779","8.140639725680705","4.5170446066345855","13","5.644884907916088","3","9.409137388051294","16","8.347227432863416"
"JAX","4.5170446066345855","1.6072865994906016","0","8.140639725680705","0.6863385991531568","1.2964632854891325","","6.081630385400041","3.5471979330182424","8.29417268130779","4.077816285644128","8.29417268130779","4.442806901419217","3.7512963788199167","1.2964632854891325","6.5956021933568625","10","13","0.214894146138377","3","7.057075907033937","16","3.4604684133328383"
"KC","1.6072865994906016","6.081630385400041","8.673314689543648","7.07829755363392","","3.4039783162779322","3.0704282042162983","1.6072865994906016","5.7292486706632495","4.198457392004571","8.318179919414007","3.8906313081936093","3.7275051589172254","8.140639725680705","0","5.4603164546347704","3.4039783162779322","13","6.8001784014964315","3","0.11742936567777287","16","6.246867179112401"
"LA","5.4603164546347704","4.484278613087993","1.6072865994906016","0.6863385991531568","3.8906313081936093","8.433609723227711","8.161006266920484","3.4039783162779322","10","8.433609723227711","","4.191346637203437","4.621214255577892","5.4603164546347704","6.5956021933568625","2.6630790046818342","6.730580172043106","13","4.887113455701127","3","5.594390557630921","16","6.621415157957089"
"LAC","8.433609723227711","7.07829755363392","3.8906313081936093","2.6630790046818342","1.6072865994906016","4.621214255577892","","3.7275051589172254","1.2964632854891325","3.5471979330182424","5.414530177199236","0","6.730580172043106","7.07829755363392","5.4603164546347704","8.673314689543648","4.621214255577892","13","1.186665446717713","3","7.720294755606964","16","3.467374573357974"
"LV","8.673314689543648","3.4039783162779322","4.989928695644156","4.621214255577892","0","3.8906313081936093","4.297670835593019","5.7292486706632495","5.4603164546347704","2.6630790046818342","0.9888141308784405","4.5170446066345855","","3.4039783162779322","1.6072865994906016","8.29417268130779","8.433609723227711","13","1.1703515375258886","3","7.397612677493022","16","4.727736416113427"
"MIA","7.07829755363392","5.4603164546347704","4.621214255577892","4.539456952557035","8.140639725680705","","6.605604518847105","0","3.5782242420395733","6.081630385400041","3.4404221617387796","5.7292486706632495","1.6072865994906016","4.442806901419217","4.191346637203437","3.4039783162779322","3.8906313081936093","13","3.4805867968291713","3","2.132700320774953","16","3.1248703854548148"
