"Offense","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"DET","5.614214462877825","3.9611563975139807","6.059823440460821","4.411847041280417","8.717021991483406","","6.290080363946168","5.271720427813358","8.230413546488505","0","6.867003855329733","6.7638463372069975","5.810040503221241","8.639951690831364","5.271720427813358","6.30669825608459","6.7638463372069975","13","8.037641225744931","3","6.985630056272601","16","10"
"GB","5.271720427813358","6.059823440460821","5.810040503221241","7.217249107747103","6.7638463372069975","7.923185778049673","7.1153599932169485","4.411847041280417","0","5.271720427813358","","6.2720132998620235","5.614214462877825","3.9611563975139807","8.230413546488505","6.7638463372069975","3.7273846928826564","13","6.422609367433849","3","7.240372705025662","16","7.7012821056750465"
"HST","3.9611563975139807","3.2750120642199447","3.425144147701189","7.923185778049673","8.639951690831364","4.562204642137234","7.234922961357995","","3.97198947573981","6.557592941851572","2.597613356494841","5.085349906896357","2.798866625471916","10","4.562204642137234","1.1179243007151243","5.48307688607167","13","6.758041235125321","3","2.1650947169604233","16","5.706732023330982"
"IND","5.085349906896357","3.595806143517658","3.7273846928826564","10","2.798866625471916","8.639951690831364","6.047616299424123","4.562204642137234","7.923185778049673","8.230413546488505","2.937894790040607","6.30669825608459","","1.1179243007151243","8.639951690831364","3.2750120642199447","6.557592941851572","13","7.010510763422278","3","7.073117234019543","16","7.530419893611237"
"JAX","6.557592941851572","1.1975318116378748","0","3.2750120642199447","1.1179243007151243","3.7273846928826564","","3.425144147701189","5.085349906896357","8.639951690831364","5.841848382115488","8.639951690831364","6.7638463372069975","2.798866625471916","3.7273846928826564","7.923185778049673","10","13","0.8479846011003902","3","9.207063660205211","16","2.8275889091082496"
"KC","1.1975318116378748","3.425144147701189","8.230413546488505","6.67058325958279","","3.97198947573981","2.139406414078622","1.1975318116378748","6.059823440460821","5.810040503221241","8.55554258716812","3.9611563975139807","6.2720132998620235","3.2750120642199447","0","6.127988316589207","3.97198947573981","13","4.391751098946277","3","1.4511671413616591","16","2.262328947880421"
"LA","6.127988316589207","6.30669825608459","1.1975318116378748","1.1179243007151243","3.9611563975139807","8.717021991483406","7.65236483985012","3.97198947573981","10","8.717021991483406","","5.48307688607167","3.595806143517658","6.127988316589207","7.923185778049673","1.8649252760244004","7.217249107747103","13","5.361407309932269","3","6.087936229413683","16","6.1859970813783"
"LAC","8.717021991483406","6.67058325958279","3.9611563975139807","1.8649252760244004","1.1975318116378748","3.595806143517658","","6.2720132998620235","3.7273846928826564","5.085349906896357","5.563901172496857","0","7.217249107747103","6.67058325958279","6.127988316589207","8.230413546488505","3.595806143517658","13","2.6847563219096853","3","6.72506073903549","16","3.701338094718088"
"LV","8.230413546488505","3.97198947573981","5.614214462877825","3.595806143517658","0","3.9611563975139807","7.195133046572356","6.059823440460821","6.127988316589207","1.8649252760244004","0.08962714754745879","6.557592941851572","","3.97198947573981","1.1975318116378748","8.639951690831364","8.717021991483406","13","2.3775763110677253","3","7.128143535045557","16","4.6549307568419405"
"MIA","6.67058325958279","6.127988316589207","3.595806143517658","5.271720427813358","3.2750120642199447","","6.951712920285519","0","6.202474953819337","3.425144147701189","3.2010896923877534","6.059823440460821","1.1975318116378748","6.7638463372069975","5.48307688607167","3.97198947573981","3.9611563975139807","13","2.074766263645928","3","3.6779319066715415","16","0.6247049977153376"
"MIN","5.48307688607167","6.7638463372069975","7.217249107747103","8.230413546488505","5.614214462877825","","3.9292595006041964","6.202474953819337","3.9611563975139807","5.48307688607167","5.640645481413155","5.810040503221241","4.411847041280417","0","6.202474953819337","10","6.059823440460821","13","5.664174669478812","3","9.617821670914191","16","8.544428585802791"
"NE","1.8649252760244004","2.798866625471916","4.562204642137234","3.9611563975139807","6.67058325958279","6.059823440460821","7.759354449048454","8.230413546488505","5.48307688607167","6.202474953819337","","3.97198947573981","3.9611563975139807","5.271720427813358","3.595806143517658","6.059823440460821","1.1975318116378748","13","5.192235077481443","3","1.9569086430603109","16","2.743329734527956"
"NO","6.202474953819337","5.085349906896357","6.67058325958279","5.810040503221241","5.271720427813358","6.30669825608459","3.210805970440856","","6.557592941851572","4.411847041280417","6.35653447194381","3.2750120642199447","5.48307688607167","4.411847041280417","7.217249107747103","8.717021991483406","5.810040503221241","13","6.1305058578866065","3","9.270008180530192","16","9.123082604249156"
"NYG","7.923185778049673","6.2720132998620235","8.639951690831364","8.717021991483406","10","5.614214462877825","4.275984041940399","","1.1179243007151243","10","3.877787645628173","3.425144147701189","6.127988316589207","1.8649252760244004","6.557592941851572","6.202474953819337","7.923185778049673","13","7.256301891955931","3","8.557537771026277","16","9.205774810658845"
"NYJ","8.639951690831364","5.48307688607167","6.202474953819337","6.7638463372069975","6.557592941851572","0","9.441772149398819","6.67058325958279","3.595806143517658","3.9611563975139807","3.213286253858967","8.230413546488505","","1.1975318116378748","8.717021991483406","0","5.271720427813358","13","5.0020801537338215","3","4.062362676701766","16","6.693205954028891"
"PHI","10","8.639951690831364","6.7638463372069975","6.2720132998620235","4.562204642137234","4.411847041280417","9.08932636144624","10","6.30669825608459","","1.8925106941974494","7.923185778049673","8.717021991483406","3.425144147701189","1.8649252760244004","3.7273846928826564","6.127988316589207","13","10","3","2.539166555941163","16","9.566969348392348"
"PIT","5.810040503221241","0","3.2750120642199447","6.557592941851572","3.425144147701189","7.217249107747103","6.440518870278122","6.557592941851572","","3.2750120642199447","0","1.1975318116378748","3.7273846928826564","4.562204642137234","5.085349906896357","4.411847041280417","8.639951690831364","13","0","3","6.847900203084256","16","0"
"SEA","0","8.717021991483406","10","3.97198947573981","6.127988316589207","1.1975318116378748","4.125039660368858","6.7638463372069975","8.717021991483406","6.67058325958279","","6.127988316589207","7.923185778049673","6.30669825608459","1.1179243007151243","6.2720132998620235","4.411847041280417","13","6.871438748664365","3","2.5938823411152514","16","5.692213272192523"
"SF","6.2720132998620235","8.230413546488505","8.717021991483406","1.1975318116378748","1.8649252760244004","10","6.665166738018663","","6.67058325958279","7.923185778049673","4.676605185241406","1.8649252760244004","6.30669825608459","6.2720132998620235","3.97198947573981","3.595806143517658","1.1179243007151243","13","9.430144149181872","3","0.5015329525225605","16","7.465300664316024"
