"Offense","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"HST","3.263051660228278","9.792240104690299","9.295405085963461","4.428842185814358","8.97715531450097","4.927189140480353","3.483449765601182","","4.0479348916098665","3.3764100190835125","9.295405085963461","2.5709313060528505","4.73248716577913","10","4.927189140480353","0.5679522336211081","3.214427713477346","13","8.628052064291836","3","0","16","6.28365169676316"
"IND","2.5709313060528505","6.052925385021856","0","10","4.73248716577913","8.97715531450097","5.132315300152265","4.62172904000551","4.428842185814358","8.996608414135842","0","3.4110776497393918","","0.5679522336211081","8.97715531450097","9.792240104690299","3.3764100190835125","13","5.496872465068763","3","10","16","6.382007582637732"
"JAX","3.3764100190835125","3.0751685606044927","2.286287166003293","9.792240104690299","0.5679522336211081","0","","9.252977792852036","2.5709313060528505","8.97715531450097","3.4110776497393918","8.97715531450097","4.432935163203414","4.73248716577913","0","4.428842185814358","10","13","3.0374262061313413","3","4.256603522711405","16","4.09608600229335"
"KC","3.0751685606044927","9.295405085963461","8.996608414135842","7.503991114584075","","4.0479348916098665","3.647054496093642","2.6581887508251487","5.890260924372923","4.227951612243602","7.76443535010661","3.263051660228278","0.8049064559433928","9.792240104690299","2.286287166003293","5.187807741359057","4.0479348916098665","13","8.425925899663282","3","2.0931908593939927","16","7.483028249110275"
"LA","5.187807741359057","3.4110776497393918","3.0751685606044927","0.5679522336211081","3.263051660228278","7.76443535010661","7.663201713150195","3.689530358819182","10","7.76443535010661","","3.214427713477346","6.052925385021856","5.187807741359057","4.428842185814358","3.571283330063923","5.641483704068103","13","5.262023178492933","3","3.67070063642644","16","4.398997017045263"
"LAC","7.76443535010661","7.503991114584075","3.263051660228278","3.571283330063923","3.0751685606044927","6.052925385021856","","0.2512224579342382","0","2.5709313060528505","5.890260924372923","2.286287166003293","5.641483704068103","7.503991114584075","5.187807741359057","8.996608414135842","6.052925385021856","13","1.6338871668571084","3","8.57961422533389","16","2.419034299581803"
"LV","8.996608414135842","4.0479348916098665","5.438194787515257","6.052925385021856","2.286287166003293","3.263051660228278","0.821983986644545","5.642792342213859","5.187807741359057","3.571283330063923","3.0751685606044927","3.3764100190835125","","4.0479348916098665","3.0751685606044927","8.97715531450097","7.76443535010661","13","2.8566537390049715","3","8.266593298694044","16","4.7864067994455635"
"MIA","7.503991114584075","5.187807741359057","6.052925385021856","5.025686371206664","9.792240104690299","","6.015233349467809","1.8218047394832906","2.450163769368627","9.295405085963461","3.263051660228278","5.890260924372923","3.0751685606044927","4.432935163203414","3.214427713477346","4.0479348916098665","3.263051660228278","13","7.062165052597853","3","1.3514537332789824","16","5.863468192062374"
"MIN","3.214427713477346","4.432935163203414","5.641483704068103","8.996608414135842","5.438194787515257","","9.492623737352128","1.9955491981887286","3.263051660228278","3.214427713477346","5.187807741359057","4.227951612243602","7.980822877977608","2.286287166003293","2.450163769368627","10","5.890260924372923","13","6.430988340608872","3","7.167822413055336","16","8.48748767294322"
"NE","3.571283330063923","4.73248716577913","4.927189140480353","3.263051660228278","7.503991114584075","5.890260924372923","4.526987814647357","8.936189032628938","3.214427713477346","2.450163769368627","","4.0479348916098665","3.263051660228278","5.025686371206664","6.052925385021856","5.890260924372923","3.0751685606044927","13","4.9363121471546645","3","4.695351895989594","16","4.187800115195271"
"NO","2.450163769368627","2.5709313060528505","7.503991114584075","4.227951612243602","5.025686371206664","3.4110776497393918","4.832895348953257","","3.3764100190835125","7.980822877977608","4.432935163203414","9.792240104690299","3.214427713477346","7.980822877977608","5.641483704068103","7.76443535010661","4.227951612243602","13","5.163680873198499","3","6.641965313729572","16","6.098051741600711"
"NYG","4.428842185814358","0.8049064559433928","8.97715531450097","7.76443535010661","10","5.438194787515257","0","","0.5679522336211081","10","4.927189140480353","9.295405085963461","5.187807741359057","3.571283330063923","3.3764100190835125","2.450163769368627","4.428842185814358","13","5.933130495514122","3","1.1505058755591329","16","4.035330351698655"
"NYJ","8.97715531450097","3.214427713477346","2.450163769368627","4.432935163203414","3.3764100190835125","2.286287166003293","9.187487559487677","7.353693548591749","6.052925385021856","3.263051660228278","4.0479348916098665","8.996608414135842","","3.0751685606044927","7.76443535010661","2.286287166003293","5.025686371206664","13","4.806372339830814","3","4.738558948769882","16","5.457092379096453"
"PHI","10","8.97715531450097","4.432935163203414","0.8049064559433928","4.927189140480353","7.980822877977608","4.52280799741933","10","3.4110776497393918","","4.73248716577913","4.428842185814358","7.76443535010661","9.295405085963461","3.571283330063923","0","5.187807741359057","13","10","3","0.03685703537182056","16","7.408416831261517"
